##FastQC	0.11.3
>>Basic Statistics	pass
#Measure	Value
Filename	1_2015-04-01_vendors-sort-downsample.bam
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	10074315
Sequences flagged as poor quality	0
Sequence length	23-101
%GC	49
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	32.91219293817991	34.0	33.0	34.0	31.0	34.0
2	33.074814714449566	34.0	33.0	34.0	31.0	34.0
3	33.117030785715954	34.0	33.0	34.0	31.0	34.0
4	36.431920879980424	37.0	37.0	37.0	35.0	37.0
5	36.42106316905914	37.0	37.0	37.0	35.0	37.0
6	36.418344373786205	37.0	37.0	37.0	35.0	37.0
7	36.41189778163577	37.0	37.0	37.0	35.0	37.0
8	36.40010392766158	37.0	37.0	37.0	35.0	37.0
9	38.2715218851108	39.0	39.0	39.0	37.0	39.0
10-11	38.26170022477955	39.0	39.0	39.0	37.0	39.0
12-13	38.22217788504727	39.0	39.0	39.0	37.0	39.0
14-15	39.792209346243396	41.0	40.0	41.0	38.0	41.0
16-17	39.75863257204088	41.0	40.0	41.0	38.0	41.0
18-19	39.75260064828229	41.0	40.0	41.0	38.0	41.0
20-21	39.737507264761916	41.0	40.0	41.0	38.0	41.0
22-23	39.685761612576144	41.0	40.0	41.0	38.0	41.0
24-25	39.649309322699295	41.0	40.0	41.0	37.0	41.0
26-27	39.580438975795275	41.0	40.0	41.0	37.0	41.0
28-29	39.52156392529601	41.0	40.0	41.0	37.0	41.0
30-31	39.45675188228105	41.0	40.0	41.0	37.0	41.0
32-33	39.385361007826845	41.0	40.0	41.0	36.5	41.0
34-35	39.31363622420321	41.0	40.0	41.0	36.0	41.0
36-37	39.22508474472121	41.0	39.0	41.0	36.0	41.0
38-39	39.147449351016675	41.0	39.0	41.0	35.0	41.0
40-41	39.04623672184202	41.0	39.0	41.0	35.0	41.0
42-43	38.923041582447	41.0	39.0	41.0	35.0	41.0
44-45	38.79819044350447	41.0	39.0	41.0	35.0	41.0
46-47	38.65932603794275	41.0	38.0	41.0	35.0	41.0
48-49	38.51759275672583	40.0	38.0	41.0	35.0	41.0
50-51	38.34587778350879	40.0	38.0	41.0	34.0	41.0
52-53	38.16398185328613	40.0	37.0	41.0	34.0	41.0
54-55	37.96864678377791	40.0	37.0	41.0	34.0	41.0
56-57	37.748405673398366	40.0	36.0	41.0	33.5	41.0
58-59	37.49248297508113	39.5	35.5	41.0	33.0	41.0
60-61	37.24349678422787	39.0	35.0	41.0	33.0	41.0
62-63	36.971771512902464	39.0	35.0	41.0	33.0	41.0
64-65	36.68358076041109	38.0	35.0	41.0	33.0	41.0
66-67	36.37797776069248	37.0	35.0	40.0	32.0	41.0
68-69	36.04693104919863	37.0	35.0	40.0	32.0	41.0
70-71	35.70434002672068	36.0	35.0	39.0	31.5	41.0
72-73	35.35392584154559	36.0	35.0	39.0	31.0	41.0
74-75	35.018045986522026	35.0	35.0	38.5	31.0	40.5
76-77	34.86533352031205	35.0	35.0	37.0	31.0	39.5
78-79	34.702371875924065	35.0	35.0	37.0	31.5	39.0
80-81	34.4902055950333	35.0	35.0	36.5	32.0	39.0
82-83	34.2448032625807	35.0	35.0	36.0	32.0	38.0
84-85	34.022891584321314	35.0	35.0	36.0	31.5	37.0
86-87	33.81891755635818	35.0	35.0	35.5	31.0	37.0
88-89	33.65538963943061	35.0	35.0	35.0	31.0	36.0
90-91	33.51530272724249	35.0	35.0	35.0	31.0	36.0
92-93	33.38705781565726	35.0	34.0	35.0	31.0	36.0
94-95	33.26975568213837	35.0	34.0	35.0	31.0	36.0
96-97	33.163676070362726	35.0	34.0	35.0	31.0	35.5
98-99	33.05273800964656	35.0	34.0	35.0	31.0	35.0
100-101	32.88945778138866	35.0	34.0	35.0	30.5	35.0
>>END_MODULE
>>Per tile sequence quality	pass
#Tile	Base	Mean
1101	1	0.24892033966325045
1101	2	0.24200434601897314
1101	3	0.23393979969853973
1101	4	0.15903242654921712
1101	5	0.15857356085958685
1101	6	0.19092453749901495
1101	7	0.19718373771382858
1101	8	0.18733708841064356
1101	9	0.23123382260690306
1101	10-11	0.2217354748024576
1101	12-13	0.24310957459200466
1101	14-15	0.32254475391292203
1101	16-17	0.3175598775378674
1101	18-19	0.3085321382602686
1101	20-21	0.28448851822732024
1101	22-23	0.3094750060288902
1101	24-25	0.31990661107708007
1101	26-27	0.33070473464509575
1101	28-29	0.33510767407595665
1101	30-31	0.3760167787857114
1101	32-33	0.3358305571483413
1101	34-35	0.3455376225495286
1101	36-37	0.35045373010605374
1101	38-39	0.3185452642496216
1101	40-41	0.3463877911743296
1101	42-43	0.3476868047399435
1101	44-45	0.30917388982863514
1101	46-47	0.2861208647557518
1101	48-49	0.3213449165390827
1101	50-51	0.29689909329045605
1101	52-53	0.3300809077864386
1101	54-55	0.2790639767943688
1101	56-57	0.24666261939080414
1101	58-59	0.2848363215451428
1101	60-61	0.30929028939439007
1101	62-63	0.2910456798470591
1101	64-65	0.2667139783440433
1101	66-67	0.24635320544458494
1101	68-69	0.2505235801771022
1101	70-71	0.2663533973121659
1101	72-73	0.2512361715952238
1101	74-75	0.216180867128557
1101	76-77	0.23347058514754337
1101	78-79	0.2564671069509217
1101	80-81	0.2155631500093378
1101	82-83	0.2462902889089449
1101	84-85	0.26237332322186546
1101	86-87	0.26653760411156213
1101	88-89	0.24349117546152144
1101	90-91	0.2543899767535507
1101	92-93	0.27082533446588286
1101	94-95	0.24864305928346653
1101	96-97	0.23380775494658224
1101	98-99	0.2590034757628459
1101	100-101	0.22121542413509587
1102	1	0.19215069827610876
1102	2	0.1756564075573408
1102	3	0.18058498764558095
1102	4	0.1336357981785028
1102	5	0.1555830307425765
1102	6	0.1481813990142271
1102	7	0.1591068780700411
1102	8	0.14068324020192335
1102	9	0.1904493982602773
1102	10-11	0.18076685907858092
1102	12-13	0.18366195872214064
1102	14-15	0.23232973283793967
1102	16-17	0.25115728829830886
1102	18-19	0.2478773301562427
1102	20-21	0.2502913634985191
1102	22-23	0.2491449517819433
1102	24-25	0.25946256181746463
1102	26-27	0.27440646403502456
1102	28-29	0.23875803989457722
1102	30-31	0.2587663062324026
1102	32-33	0.2672129061766668
1102	34-35	0.2523510998352947
1102	36-37	0.2540069768593085
1102	38-39	0.2607996958305989
1102	40-41	0.25621795761020394
1102	42-43	0.255529540059662
1102	44-45	0.24554927371809754
1102	46-47	0.25898262595699606
1102	48-49	0.2681000762837371
1102	50-51	0.2662521481308744
1102	52-53	0.23770391460489293
1102	54-55	0.2565325540018435
1102	56-57	0.2501095930170294
1102	58-59	0.2462207953871811
1102	60-61	0.20665203809937083
1102	62-63	0.20341826231309312
1102	64-65	0.2483417839184483
1102	66-67	0.19766605273208881
1102	68-69	0.16969373798863074
1102	70-71	0.2040554180024472
1102	72-73	0.20642110801472313
1102	74-75	0.20710261924394757
1102	76-77	0.1984149072110455
1102	78-79	0.2358706719034771
1102	80-81	0.23863176211678905
1102	82-83	0.2419391074304329
1102	84-85	0.24275266052615052
1102	86-87	0.22388236524127336
1102	88-89	0.22438193952253727
1102	90-91	0.1912812168632101
1102	92-93	0.19793470958831705
1102	94-95	0.24124418889678623
1102	96-97	0.2561852179501898
1102	98-99	0.24230188937779218
1102	100-101	0.2498655008795012
1103	1	0.18791005034528752
1103	2	0.17058837798298754
1103	3	0.16893156744777116
1103	4	0.12497735328024362
1103	5	0.12411897589358745
1103	6	0.11274803210555717
1103	7	0.09552468049626839
1103	8	0.12198517473945714
1103	9	0.1268269080090434
1103	10-11	0.13319626984451816
1103	12-13	0.1480580615570588
1103	14-15	0.22941276134156396
1103	16-17	0.19764604814246667
1103	18-19	0.21363414388909518
1103	20-21	0.19793824497834578
1103	22-23	0.2136736349255841
